WORD,DEFINITION,synonyms,Difficulty
inept,unskillful said or done at the wrong time    ,"something, anything",1
ineptitude,quality of being unskillful      ,"something, anything",1
inferno,hell         ,"something, anything",1
infuriate,fill with fury or rage       ,"something, anything",1
infuse,put pour fill         ,"something, anything",1
ingenuous,naive young artless frank honest sincere      ,"something, anything",1
ingest,take in by swallowing        ,"something, anything",1
inimical,harmful or friendly         ,"something, anything",1
inimitable,defying imitation unmatchable         ,"something, anything",1
innocuous,causing no harm         ,"something, anything",1
inscrutable,incapable of being discovered or understood      ,"something, anything",1
insensible,unconscious unresponsive unaffected         ,"something, anything",1
insinuate,suggest unpleasantly make a way for smth gently    ,"something, anything",1
insipid,without taste or flavor        ,"something, anything",1
insouciant,unconcerned carefree          ,"something, anything",1
insularity,narrow-mindedness isolated          ,"something, anything",1
insurrection,rising of people to open resistance to     ,"something, anything",1
interdict,prohibit forbid          ,"something, anything",1
interim,as an installment         ,"something, anything",1
intersperse,place here and there        ,"something, anything",1
intransigence,unwillingness to compromise stubbornness intractability       ,"something, anything",1
intransigent,uncompromising           ,"something, anything",1
intrepid,fearless brave undaunted         ,"something, anything",1
introspection,examining one's own thoughts and feelings      ,"something, anything",1
inundate,flood cover by overflowing        ,"something, anything",1
inured,accustomed to adapted         ,"something, anything",1
invective,abusive language curses         ,"something, anything",1
inveigh,to attack verbally denounce deprecate       ,"something, anything",1
inveterate,deep-rooted. long-established          ,"something, anything",1
invincible,too strong to be defeated     ,"something, anything",1
involute,complex           ,"something, anything",1
irascible,irritable easily angered         ,"something, anything",1
irate,angry           ,"something, anything",1
ire,anger           ,"something, anything",1
irksome,tiresome           ,"something, anything",1
irresolute,hesitating undecided          ,"something, anything",1
irrevocable,final and unalterable         ,"something, anything",1
itinerate,to travel from place to place to peregrinate    ,"something, anything",1
jabber,talk excitedly utter rapidly        ,"something, anything",1
jibe,gibe make fun of        ,"something, anything",1
jocular,meant as a joke        ,"something, anything",1
judicious,sound in judgment wise        ,"something, anything",1
knit,draw together unite firmly        ,"something, anything",1
labyrinthine,to entangle the state of affairs      ,"something, anything",1
lachrymose,causing tears tearful         ,"something, anything",1
lackluster,(of eyes) dull         ,"something, anything",1
lament,show feel great sorrow        ,"something, anything",1
lassitude,weariness tiredness          ,"something, anything",1
latent,present but not yet active developed or visible    ,"something, anything",1
laudatory,expressing or giving praise        ,"something, anything",1
lavish,giving or producing freely liberally or generously     ,"something, anything",1
legacy,smth handed down from ancestors       ,"something, anything",1
levee,formal reception/embankment        ,"something, anything",1
levity,lack of seriousness       ,"something, anything",1
libel,statement that damages reputation        ,"something, anything",1
liberality,free giving generosity         ,"something, anything",1
libertine,immoral person          ,"something, anything",1
lien,legal claim until a debt on it is repaid   ,"something, anything",1
limn,paint portray          ,"something, anything",1
limp,lacking strength walking unevenly        ,"something, anything",1
lionize,treat as a famous person     ,"something, anything",1
lithe,bending twisting          ,"something, anything",1
loll,rest to sit or stand in a lazy way hang (dog's tongue),"something, anything",1
lope,move along with long strides     ,"something, anything",1
loquacious,talkative garrulous          ,"something, anything",1
lucubrate,write in scholarly fashion        ,"something, anything",1
luculent,easily understood lucid clear        ,"something, anything",1
lugubrious,mournful excessively sad         ,"something, anything",1
lull,become quiet or less active       ,"something, anything",1
lumber,move in a clumsy/noisy way     ,"something, anything",1
luminary,star light-giving body         ,"something, anything",1
lurk,be out of view ready to attack   ,"something, anything",1
lustrous,being bright polished         ,"something, anything",1
macabre,gruesome suggesting death         ,"something, anything",1
macerate,make or become soft by soaking in water  ,"something, anything",1
machination,plot scheme (esp. evil)        ,"something, anything",1
maladroit,tactless clumsy          ,"something, anything",1
malapropism,misuse of a word (for one that resembles it)   ,"something, anything",1
malevolence,wishing to do evil        ,"something, anything",1
malign,injurious speak ill of smb tell lie     ,"something, anything",1
malinger,to fake illness or injury in order to shirk a duty ,"something, anything",1
malleable,yielding easily shaped moldable adapting       ,"something, anything",1
manacle,chains for the hands or feet      ,"something, anything",1
massacre,cruel killing of a large number of people    ,"something, anything",1
matriculation,be admitted enter a university as a student    ,"something, anything",1
maudlin,sentimental in a silly or tearful way     ,"something, anything",1
maul,hurt by rough handling      ,"something, anything",1
maverick,rebel nonconformist          ,"something, anything",1
mellifluous,sweetly flowing          ,"something, anything",1
mendacity,dishonesty           ,"something, anything",1
mendicant,a beggar          ,"something, anything",1
mercurial,quick changeable in character fleeting       ,"something, anything",1
meretricious,attractive on the surface but of little value    ,"something, anything",1
mesmerize,hypnotize           ,"something, anything",1
meticulous,giving great attention to details       ,"something, anything",1
mettle,quality of endurance or courage       ,"something, anything",1
mettlesome,courageous high-spirited          ,"something, anything",1
middling,fairly good but not very good      ,"something, anything",1
minatory,menacing threatening          ,"something, anything",1
mince,pronounce or speak affectedly euphemize       ,"something, anything",1
misanthrope,person who hates mankind        ,"something, anything",1
mischievous,harmful causing mischief         ,"something, anything",1
miser,person who loves wealth and spends little     ,"something, anything",1
misogynist,one who hates women/females        ,"something, anything",1
moderation,quality of being limited not extreme      ,"something, anything",1
mollify,make calmer or quieter        ,"something, anything",1
molt,moult lose hair feathers before new growing     ,"something, anything",1
morbid,diseased unhealthy (e.g.. about ideas)       ,"something, anything",1
morose,ill-tempered unsocial          ,"something, anything",1
muffler,cloth worn round the neck/silencer     ,"something, anything",1
multifarious,varied motley greatly diversified        ,"something, anything",1
mundane,worldly as opposed to spiritual commonplace everyday     ,"something, anything",1
myriad,very great number         ,"something, anything",1
nadir,lowest weakest point         ,"something, anything",1
nascent,coming into existence emerging        ,"something, anything",1
nebulous,cloud-like hazy vague indistinct        ,"something, anything",1
negligent,taking too little care        ,"something, anything",1
neophyte,person who has been converted to a belief    ,"something, anything",1
nexus,a connection tie or link       ,"something, anything",1
nibble,show some inclination to accept (an offer)     ,"something, anything",1
noisome,offensive disgusting (smell)         ,"something, anything",1
nonchalant,not having interest         ,"something, anything",1
nonplused,greatly surprised          ,"something, anything",1
nostrum,a quack remedy an untested cure      ,"something, anything",1
noxious,harmful           ,"something, anything",1
nugatory,trifling/worthless         ,"something, anything",1
obdurate,hardened and unrepenting stubborn inflexible       ,"something, anything",1
obfuscate,to darken make obscure muddle       ,"something, anything",1
oblivious,unaware having no memory        ,"something, anything",1
obloquy,abusively detractive language sharp criticism vituperation      ,"something, anything",1
obsequious,too eager to obey or serve      ,"something, anything",1
obstreperous,noisy loud          ,"something, anything",1
obtain,to be established accepted or customary      ,"something, anything",1
obtrusive,projecting prominent undesirably noticeable        ,"something, anything",1
obtuse,blunt/stupid         ,"something, anything",1
obviate,to make unnecessary get rid of      ,"something, anything",1
occluded,blocked up          ,"something, anything",1
odious,repulsive hateful          ,"something, anything",1
odium,contempt dislike aversion         ,"something, anything",1
odor,smell favor reputation         ,"something, anything",1
officious,too eager or ready to help offer advice    ,"something, anything",1
ominous,threatening         ,"something, anything",1
onerous,needing effort burdensome         ,"something, anything",1
opaqueness,dullness/not allowing light to pass through    ,"something, anything",1
opprobrious,showing scorn or reproach        ,"something, anything",1
ossify,to turn to bone to settle rigidly into an idea  ,"something, anything",1
ostensible,seeming appearing as such professed       ,"something, anything",1
ostentation,display to obtain admiration or envy      ,"something, anything",1
ostracism,shut out from society refuse to meet talk    ,"something, anything",1
overhaul,examine thoroughly to learn about the condition     ,"something, anything",1
overweening,presumptuously arrogant overbearing immoderate being a jerk     ,"something, anything",1
paean,song of praise or triumph       ,"something, anything",1
palate,roof of the mouth sense of taste     ,"something, anything",1
palatial,magnificent           ,"something, anything",1
palliate,lessen the severity of        ,"something, anything",1
palpability,can be felt touched understood       ,"something, anything",1
palpitate,tremble beat rapidly and irregularly       ,"something, anything",1
panegyric,formal praise eulogy         ,"something, anything",1
paradigm,a model example or pattern       ,"something, anything",1
parenthesis,sentence within another one smth separated      ,"something, anything",1
pariah,an outcast a rejected and despised person     ,"something, anything",1
parsimonious,too economical miserly         ,"something, anything",1
partisan,one-sided committed to a party biased or prejudiced    ,"something, anything",1
patron,regular customer person who gives support      ,"something, anything",1
paucity,scarcity a lacking of        ,"something, anything",1
peccadillo,small sin small weakness in one's character     ,"something, anything",1
pedantic,bookish showing off learning        ,"something, anything",1
pedestrian,commonplace trite unremarkable         ,"something, anything",1
pellucid,transparent easy to understand        ,"something, anything",1
penchant,strong inclination a liking        ,"something, anything",1
penitent,feeling or showing regret        ,"something, anything",1
penurious,poor/stingy         ,"something, anything",1
penury,extreme poverty          ,"something, anything",1
peregrination,traveling about wandering         ,"something, anything",1
peremptory,urgent imperative unchallengeable ending debate       ,"something, anything",1
perfidious,treacherous faithless          ,"something, anything",1
perfidy,treachery breaking of faith        ,"something, anything",1
perfunctory,done as a duty without care      ,"something, anything",1
perilous,dangerous           ,"something, anything",1
peripatetic,wandering           ,"something, anything",1
perish,be destroyed decay         ,"something, anything",1
perjury,willful FALSE statement unlawful act       ,"something, anything",1
permeate,spread into every part of       ,"something, anything",1
pernicious,harmful injurious          ,"something, anything",1
perpetrate,be guilty commit (a crime)       ,"something, anything",1
personable,pleasing in appearance attractive        ,"something, anything",1
perspicacity,quick judging and understanding        ,"something, anything",1
pertain,belong as a part have reference      ,"something, anything",1
pest,destructive thing or a person who is nuisance    ,"something, anything",1
petrified,taken away power (to think feel act)     ,"something, anything",1
petrify,to make hard rocklike        ,"something, anything",1
petrous,like a rock hard stony       ,"something, anything",1
petulant,unreasonably impatient          ,"something, anything",1
philistine,a smug ignorant person one who lacks knowledge    ,"something, anything",1
phlegmatic,calm sluggish temperament unemotional        ,"something, anything",1
picaresque,involving clever rogues or adventurers       ,"something, anything",1
pied,of mixed colors         ,"something, anything",1
pinch,be too tight take between the thumb and finger   ,"something, anything",1
pine,waste away through sorrow or illness    ,"something, anything",1
pious,dutiful to parents devoted to religion      ,"something, anything",1
piquant,agreeably pungent stimulating         ,"something, anything",1
pique,hurt the pride or self-respect stir (curiosity)     ,"something, anything",1
pitfall,covered hole as a trap unsuspected danger     ,"something, anything",1
pith,essential part force soft liquid substance      ,"something, anything",1
pivotal,of great importance (others depend on it)     ,"something, anything",1
placate,soothe pacify calm         ,"something, anything",1
plaintive,mournful melancholy sorrowful         ,"something, anything",1
plaque,flat metal on a wall as a memorial    ,"something, anything",1
platitude,a trite or banal statement unoriginality      ,"something, anything",1
plea,request           ,"something, anything",1
plead,address a court of law as an advocate    ,"something, anything",1
plethora,glut           ,"something, anything",1
pliant,pliable easily bent shaped or twisted      ,"something, anything",1
plod,continue doing smth without resting       ,"something, anything",1
pluck,pull the feathers off pick (e.g.. flowers)     ,"something, anything",1
plumb,get to the root of       ,"something, anything",1
plummet,fall plunge steeply         ,"something, anything",1
plunge,move quickly suddenly and with force      ,"something, anything",1
poignant,deeply moving keen         ,"something, anything",1
poncho,large piece of cloth      ,"something, anything",1
ponderous,heavy bulky dull         ,"something, anything",1
portent,omen marvelous threatening         ,"something, anything",1
precarious,uncertain risky dangerous         ,"something, anything",1
precepts,rules establishing standards of conduct       ,"something, anything",1
preclude,prevent make impossible         ,"something, anything",1
precursory,preliminary anticipating          ,"something, anything",1
predilection,special liking mental preference        ,"something, anything",1
predominate,have more power than others       ,"something, anything",1
preen,tidy/show self-satisfaction        ,"something, anything",1
premature,doing or happening smth before the right time    ,"something, anything",1
preponderance,greatness in number strength weight       ,"something, anything",1
presage,warning sign          ,"something, anything",1
presumption,arrogance         ,"something, anything",1
preternatural,not normal or usual        ,"something, anything",1
prevalent,common           ,"something, anything",1
prevaricate,to equivocate to stray from the truth     ,"something, anything",1
prim,neat formal          ,"something, anything",1
pristine,primitive unspoiled pure as in earlier times unadulterated    ,"something, anything",1
probity,uprightness incorruptibility principle         ,"something, anything",1
proclivity,inclination           ,"something, anything",1
procrastination,keeping on putting off        ,"something, anything",1
prodigal,wasteful reckless with money        ,"something, anything",1
prodigious,enormous wonderful          ,"something, anything",1
profane,worldly having contempt for God       ,"something, anything",1
profligacy,shameless immorality        ,"something, anything",1
profligate,wasteful prodigal licentious extravagant        ,"something, anything",1
profundity,depth           ,"something, anything",1
profuse,abundant/lavish         ,"something, anything",1
proliferate,grow reproduce by rapid multification       ,"something, anything",1
prolix,tiring because too long        ,"something, anything",1
prone,prostrate inclined to (undesirable things)       ,"something, anything",1
propagation,increasing the number spreading extending       ,"something, anything",1
propinquity,nearness in time or place affinity of nature    ,"something, anything",1
propitiatory,conciliatory appeasing mitigating         ,"something, anything",1
propitious,auspicious presenting favorable circumstances        ,"something, anything",1
prosaic,everyday mundane commonplace trite pedestrian       ,"something, anything",1
proscribe,denounce as dangerous         ,"something, anything",1
protracted,prolonged           ,"something, anything",1
provident,frugal looking to the future       ,"something, anything",1
provisional,of the present time only       ,"something, anything",1
provoke,make angry vax         ,"something, anything",1
prudence,careful forethought          ,"something, anything",1
prudish,easily shocked excessively modest        ,"something, anything",1
prune,dried plum silly person        ,"something, anything",1
pry,get smth inquire too curiously       ,"something, anything",1
pucker,wrinkle         ,"something, anything",1
pugnacious,fond of in the habit of fighting     ,"something, anything",1
puissance,strength         ,"something, anything",1
punctilious,precise paying attention to trivialities       ,"something, anything",1
pundit,pedant authority on a subject       ,"something, anything",1
pungency,sharpness stinging quality         ,"something, anything",1
purvey,provide supply          ,"something, anything",1
pusillanimous,cowardly craven          ,"something, anything",1
putrefaction,becoming rotten        ,"something, anything",1
pyre,large pile of wood for burning      ,"something, anything",1
quack,person dishonestly claiming to smth       ,"something, anything",1
quaff,drink deeply          ,"something, anything",1
quail,lose courage turn frightened        ,"something, anything",1
qualm,feeling of doubt temporary feeling of sickness     ,"something, anything",1
quandary,state of doubt or perplexity     ,"something, anything",1
quell,suppress subdue          ,"something, anything",1
quibble,try to avoid by sophistication       ,"something, anything",1
quiescence,state of being passive/motionless      ,"something, anything",1
quiescent,at rest dormant torpid        ,"something, anything",1
quirk,habit or action peculiar to smb or smth    ,"something, anything",1
quixotic,generous unselfish          ,"something, anything",1
quotidian,banal everyday          ,"something, anything",1
rabble,mob crowd the lower classes of populace     ,"something, anything",1
raconteur,person who tells anecdotes        ,"something, anything",1
raffish,low vulgar base tawdry        ,"something, anything",1
ramify,to be divided or subdivided to branch out    ,"something, anything",1
rancorous,feeling bitterness spitefulness         ,"something, anything",1
rant,use extravagant language         ,"something, anything",1
rapacious,greedy (esp for money)        ,"something, anything",1
rarefy,to make thin to make less dense to purify or refine ,"something, anything",1
rave,act with excessive enthusiasm      ,"something, anything",1
reactionary,opposing progress          ,"something, anything",1
rebuff,snub           ,"something, anything",1
recalcitrant,disobedient           ,"something, anything",1
recant,take back as being FALSE give up     ,"something, anything",1
recast,cast or fashion anew        ,"something, anything",1
recidivism,relapse into antisocial or criminal behavior      ,"something, anything",1
reciprocity,granting of privileges in return for similar     ,"something, anything",1
recitals,a number of performance of music      ,"something, anything",1
recluse,person who lives alone and avoids people     ,"something, anything",1
recompense,make payment to reward punish       ,"something, anything",1
reconcile,settle a quarrel restore peace       ,"something, anything",1
recondite,little known abstruse         ,"something, anything",1
recreancy,cowardice a cowardly giving up       ,"something, anything",1
recuperate,become strong after illness loss exhaustion      ,"something, anything",1
redeem,get back by payment compensate       ,"something, anything",1
redoubtable,formidable causing fear         ,"something, anything",1
refine,make or become pure cultural       ,"something, anything",1
refractory,stubborn unmanageable untractable         ,"something, anything",1
refulgent,shining brilliant          ,"something, anything",1
regale,to delight or entertain to feast      ,"something, anything",1
regicide,crime of killing a king       ,"something, anything",1
reiterate,say or do again several times      ,"something, anything",1
rejuvenation,becoming young in nature or appearance      ,"something, anything",1
relapse,fall back again         ,"something, anything",1
remonstrate,to protest object         ,"something, anything",1
render,deliver provide represent         ,"something, anything",1
renovate,restore smth to better condition       ,"something, anything",1
renowned,celebrated famous          ,"something, anything",1
repast,meal           ,"something, anything",1
repel,refuse to accept/cause dislike      ,"something, anything",1
repine,at be discontented with        ,"something, anything",1
reproach,scold upbraid          ,"something, anything",1
reprobate,person hardened in sin one devoid of decency    ,"something, anything",1
repudiate,disown refuse to accept or pay      ,"something, anything",1
repulsive,causing a feeling of disgust       ,"something, anything",1
requite,repay give in return        ,"something, anything",1
rescind,repeal/annul/cancel         ,"something, anything",1
resigned,unresisting submissive          ,"something, anything",1
resilience,quality of quickly recovering the original shape     ,"something, anything",1
resort,to frequently visit         ,"something, anything",1
restive,refusing to move reluctant to be controlled     ,"something, anything",1
resuscitation,coming back to consciousness        ,"something, anything",1
retard,check hinder          ,"something, anything",1
reticent,reserved untalkative silent taciturn        ,"something, anything",1
revere,have deep respect for        ,"something, anything",1
reverent,feeling or showing deep respect     ,"something, anything",1
riddle,puzzling person or thing      ,"something, anything",1
rift,split crack dissension         ,"something, anything",1
rivet,fix take up secure metal pin      ,"something, anything",1
roll,call calling of names        ,"something, anything",1
rotund,rich and deep plump and round      ,"something, anything",1
ruffian,violent cruel man         ,"something, anything",1
rumple,make rough        ,"something, anything",1
sagacious,having sound judgment perceptive wise like a sage    ,"something, anything",1
salacious,obscene           ,"something, anything",1
salubrious,healthful           ,"something, anything",1
salutary,remedial wholesome causing improvement        ,"something, anything",1
sanctimony,self-righteousness hypocritical with FALSE piety       ,"something, anything",1
sanction,approval (by authority) penalty        ,"something, anything",1
sanguine,cheerful confident optimistic         ,"something, anything",1
sanity,health of mind soundness of judgement      ,"something, anything",1
sash,long strip worn round the waist    ,"something, anything",1
satiate,satisfy fully          ,"something, anything",1
saturnine,gloomy dark sullen morose        ,"something, anything",1
savant,person of great learning        ,"something, anything",1
savor,taste flavor smth         ,"something, anything",1
sawdust,tiny bits of wood        ,"something, anything",1
scabbard,sheath for the blade        ,"something, anything",1
scent,smell (esp pleasant)         ,"something, anything",1
scorch,become discolored/dry up/go at high speed    ,"something, anything",1
scribble,write hastily          ,"something, anything",1
scurvy,mean contemptible          ,"something, anything",1
secular,material (not spiritual) living outside monasteries      ,"something, anything",1
sedulous,persevering           ,"something, anything",1
seminal,like a seed constituting a source originative     ,"something, anything",1
sententious,short and pithy full of maxims/proverbs      ,"something, anything",1
sequence,succession connected line of        ,"something, anything",1
sere,make hard and without feeling     ,"something, anything",1
sermon,reproving a person for his faults    ,"something, anything",1
serrated,having a toothed edge        ,"something, anything",1
serration,having a toothed edge        ,"something, anything",1
servile,like a slave lacking independence       ,"something, anything",1
sever,break off        ,"something, anything",1
severance,severing           ,"something, anything",1
shallow,little depth not earnest        ,"something, anything",1
shard,piece of broken earthenware        ,"something, anything",1
sheath,cover for the blade of a weapon or a tool  ,"something, anything",1
shrewd,astute showing sound judgement        ,"something, anything",1
shrill,sharp piercing          ,"something, anything",1
shun,keep away from avoid        ,"something, anything",1
shunt,send from one track to another lay aside evade discussion  ,"something, anything",1
sidestep,step to one side        ,"something, anything",1
simper,(give a) silly/self-conscious smile      ,"something, anything",1
sinuous,winding undulating serpentine         ,"something, anything",1
skiff,small boat          ,"something, anything",1
skit,short piece of humorous writing       ,"something, anything",1
slack,sluggish dull not tight        ,"something, anything",1
slake,to assuage to satisfy allay       ,"something, anything",1
slate,king of blue-grey stone propose criticize      ,"something, anything",1
sluggard,lazy slow-moving person         ,"something, anything",1
slur,join sounds/words (indistinct)       ,"something, anything",1
smolder,burn slowly without flame      ,"something, anything",1
snare,trap         ,"something, anything",1
snub,treat with contempt       ,"something, anything",1
soar,rise fly high         ,"something, anything",1
sober,self-controlled           ,"something, anything",1
sobriety,quality or condition of being sober      ,"something, anything",1
sodden,soaked saturated          ,"something, anything",1
soggy,heavy with water         ,"something, anything",1
solvent,of the power of forming a solution     ,"something, anything",1
somatic,of the body         ,"something, anything",1
soot,black powder in smoke        ,"something, anything",1
sophisticated,complex subtle refined         ,"something, anything",1
sophistry,fallacious reasoning faulty logic        ,"something, anything",1
sophomoric,self-assured though immature affected bombastic overblown      ,"something, anything",1
soporific,producing sleep        ,"something, anything",1
sordid,wretched comfortless contemptible         ,"something, anything",1
spear,weapon with a metal point on a long shaft   ,"something, anything",1
specious,illogical of questionable truth or merit      ,"something, anything",1
splenetic,bad-tempered irritable          ,"something, anything",1
splice,join (two ends)         ,"something, anything",1
sponge,porous rubber for washing live at once expense    ,"something, anything",1
spurious,FALSE counterfeit          ,"something, anything",1
spurn,have nothing to do reject or refuse     ,"something, anything",1
squalid,foul filthy          ,"something, anything",1
squander,spend wastefully          ,"something, anything",1
squat,crouch/settle without permission       ,"something, anything",1
stanch,to stop the flow of a fluid     ,"something, anything",1
steeply,rising or falling sharply        ,"something, anything",1
stentorian,extremely loud and powerful        ,"something, anything",1
stickler,person who insists on importance of smth     ,"something, anything",1
stigma,mark of shame or disgrace       ,"something, anything",1
stigmatize,describe smb scornfully         ,"something, anything",1
sting,smth sharp          ,"something, anything",1
stingy,spending using unwillingly         ,"something, anything",1
stint,to be thrifty to set limits      ,"something, anything",1
stipple,paint with dots       ,"something, anything",1
stipulate,state or put forward as a necessary condition    ,"something, anything",1
stolid,showing no emotion impassive        ,"something, anything",1
stray,wander lose one's way        ,"something, anything",1
streak,long thin move very fast       ,"something, anything",1
striated,striped grooved or banded        ,"something, anything",1
stride,walk with long steps        ,"something, anything",1
strut,a supporting bar         ,"something, anything",1
stygian,hence dark gloomy         ,"something, anything",1
stymie,to hinder obstruct or block       ,"something, anything",1
subdue,overcome bring under control        ,"something, anything",1
sublime,extreme astounding          ,"something, anything",1
submerge,put under water liquid sink out of sight    ,"something, anything",1
suborn,induce by bribery or smth to commit perjury    ,"something, anything",1
subpoena,written order requiring a person to appear in a low court ,"something, anything",1
substantiation,giving facts to support (statement)     ,"something, anything",1
subsume,include under a rule        ,"something, anything",1
succor,assistance relief in time of distress      ,"something, anything",1
suffice,be enough          ,"something, anything",1
suffocate,cause or have difficulty in breathing    ,"something, anything",1
sullied,to be stained or discredited       ,"something, anything",1
summarily,briefly without delay         ,"something, anything",1
sumptuous,magnificent           ,"something, anything",1
sundry,various miscellaneous separate         ,"something, anything",1
supercilious,disdainful characterized by haughty scorn       ,"something, anything",1
superfluous,more then is needed or wanted      ,"something, anything",1
superimpose,put smth on the top       ,"something, anything",1
supersede,take the place of        ,"something, anything",1
supine,lying on the back slow to act passive    ,"something, anything",1
suppliant,asking humbly beseeching         ,"something, anything",1
supplicate,make a humble petition to       ,"something, anything",1
suppress,prevent from being known put an end to    ,"something, anything",1
surcharge,additional load/charge        ,"something, anything",1
surfeit,satiate feed to fulness or to excess     ,"something, anything",1
susceptibility,sensitiveness           ,"something, anything",1
swerve,change direction suddenly       ,"something, anything",1
sycophant,person who flatter to the rich and powerful    ,"something, anything",1
synopsis,summary or outline         ,"something, anything",1
taciturn,untalkative silent          ,"something, anything",1
tadpole,form of a frog when it leaves the egg ,"something, anything",1
talon,claw of a bird of prey      ,"something, anything",1
tamp,tap or drive down by repeated light blows    ,"something, anything",1
tamper,interfere with          ,"something, anything",1
tangential,suddenly changeable          ,"something, anything",1
tarnished,lost brightness          ,"something, anything",1
tassel,bunch of threads       ,"something, anything",1
taunt,contemptuous reproach hurtful remark        ,"something, anything",1
taut,tightly stretched          ,"something, anything",1
tautology,a repetition a redundancy        ,"something, anything",1
tawdry,cheap gaudy showy tacky        ,"something, anything",1
teetotal,oppose to alcohol         ,"something, anything",1
temerity,boldness brashness intrepidness         ,"something, anything",1
temperance,abstinence from alcohol self-control moderation       ,"something, anything",1
temperate,showing self-control          ,"something, anything",1
tenacity,firmness persistency adhesiveness tending to hang on     ,"something, anything",1
tenuous,insubstantial flimsy weak         ,"something, anything",1
tepid,lukewarm         ,"something, anything",1
terse,brief and to the point       ,"something, anything",1
testiness,witness/evidence         ,"something, anything",1
thrift,care economy thriving prosperous        ,"something, anything",1
thwart,obstruct/frustrate         ,"something, anything",1
timid,shy easily frightened         ,"something, anything",1
timorous,fearful timid afraid         ,"something, anything",1
toady,obsequious flatterer        ,"something, anything",1
tonic,smth giving strength or energy       ,"something, anything",1
topple,be unsteady and overturn        ,"something, anything",1
torment,severe pain or suffering        ,"something, anything",1
torpid,sleeping sluggish lethargic dormant        ,"something, anything",1
torque,twisting force causing rotation      ,"something, anything",1
tortuous,devious/not straightforward        ,"something, anything",1
tout,person who worries others to buy smth to use his service ,"something, anything",1
tractable,easily controlled or guided        ,"something, anything",1
transgress,break go beyond (a limit)       ,"something, anything",1
transient,temporary fleeting          ,"something, anything",1
transitory,brief           ,"something, anything",1
travesty,parody/imitation         ,"something, anything",1
trenchant,forceful effective vigorous extremely perceptive incisive      ,"something, anything",1
trepidation,alarm excited state of mind       ,"something, anything",1
trickle,flow in drops       ,"something, anything",1
trifling,unimportant           ,"something, anything",1
trite,not new          ,"something, anything",1
truce,(agreement) stop of fighting for a time   ,"something, anything",1
truculence,aggressiveness ferocity          ,"something, anything",1
trudge,walk heavily          ,"something, anything",1
turbid,muddy having the sediment stirred up      ,"something, anything",1
turbulence,being uncontrolled violent         ,"something, anything",1
turgid,excessively ornate swollen or bloated       ,"something, anything",1
turmoil,trouble disturbance          ,"something, anything",1
turpitude,wickedness shamefulness          ,"something, anything",1
turquoise,greenish-blue precious stone       ,"something, anything",1
tyro,tiro beginner          ,"something, anything",1
ubiquitous,present everywhere        ,"something, anything",1
ulterior,situated beyond          ,"something, anything",1
umbrage,offense resentment          ,"something, anything",1
uncouth,rough awkward          ,"something, anything",1
underbid,make a lower bid then smb else     ,"something, anything",1
undermine,weaken gradually at the base make smth under    ,"something, anything",1
undulate,to move in wavelike fashion fluctuate      ,"something, anything",1
unearth,discover and bring to light     ,"something, anything",1
unencumbered,easy-going trifle          ,"something, anything",1
unfeigned,not pretended sincere         ,"something, anything",1
unscathed,unharmed unhurt          ,"something, anything",1
untoward,unfortunate inconvenient          ,"something, anything",1
upbraid,scold reproach          ,"something, anything",1
urbane,elegant refined in manners        ,"something, anything",1
vacillation,being uncertain hesitating         ,"something, anything",1
vagary,strange act or idea        ,"something, anything",1
vain,without use result conceited        ,"something, anything",1
valiant,brave           ,"something, anything",1
valorous,brave           ,"something, anything",1
vanquish,conquer           ,"something, anything",1
veer,change direction          ,"something, anything",1
venal,ready to do smth dishonest       ,"something, anything",1
veneer,surface appearance covering the TRUE nature      ,"something, anything",1
veneration,regard with deep respect        ,"something, anything",1
veracity,truth           ,"something, anything",1
verdant,fresh and green       ,"something, anything",1
verisimilitude,appearing TRUE or real        ,"something, anything",1
veritable,real rightly named         ,"something, anything",1
verve,spirit vigor enthusiasm         ,"something, anything",1
vestige,trace or sign       ,"something, anything",1
vex,annoy distress trouble         ,"something, anything",1
vigilance,watchfulness self-appointed group who maintain order      ,"something, anything",1
vigilant,member of a vigilance committee       ,"something, anything",1
vigorous,strong energetic          ,"something, anything",1
vilify,slander say evil things        ,"something, anything",1
vindictive,having a desire to revenge       ,"something, anything",1
virago,a loud domineering woman a scold or nag    ,"something, anything",1
visceral,of the internal organs of the body     ,"something, anything",1
viscous,sticky/semi-fluid         ,"something, anything",1
vitiate,lower the quality weaken the strength      ,"something, anything",1
vituperate,curse abuse in words        ,"something, anything",1
vivacious,lively high-spirited          ,"something, anything",1
volatile,changeable inconstant fickle unstable explosive       ,"something, anything",1
volubility,fluency verbosity easy use of spoken language     ,"something, anything",1
voluble,fluent           ,"something, anything",1
waffle,talk vaguely and without much result    ,"something, anything",1
waft,scent waving movement carry lightly through      ,"something, anything",1
wag,merry person          ,"something, anything",1
warmonger,person who stirs up war       ,"something, anything",1
warrant,authority written order guarantee        ,"something, anything",1
wean,to turn away (from a habit)    ,"something, anything",1
weigh,measure hoe heavy smth is       ,"something, anything",1
welter,turmoil a bewildering jumble        ,"something, anything",1
wend,to go proceed         ,"something, anything",1
whimsical,full of odd and fanciful ideas      ,"something, anything",1
wince,show bodily or mental pain       ,"something, anything",1
woo,try to win         ,"something, anything",1
writ,written order        ,"something, anything",1
yarn,tale story fibers for knitting       ,,
